hidden,n_layers,lr,batch_size,epochs,rmse_moy,mae_moy,rmse_median,mae_median
64,1,0.001,256,30,0.8356,0.7129,0.4583,0.368
64,1,0.001,256,50,0.826,0.6985,0.4681,0.391
64,1,0.001,512,30,0.8287,0.7033,0.4556,0.381
64,1,0.001,512,50,0.8211,0.6884,0.4618,0.379
64,1,0.0005,256,30,0.8199,0.7003,0.4642,0.3831
64,1,0.0005,256,50,0.8055,0.6878,0.4455,0.3597
64,1,0.0005,512,30,0.7853,0.6689,0.4581,0.3772
64,1,0.0005,512,50,0.8539,0.7323,0.474,0.3888
64,1,0.0001,256,30,0.8046,0.6855,0.4519,0.3866
64,1,0.0001,256,50,0.8161,0.7004,0.4657,0.4001
64,1,0.0001,512,30,0.8226,0.7027,0.4722,0.4008
64,1,0.0001,512,50,0.8022,0.6875,0.4653,0.3879
64,2,0.001,256,30,0.8463,0.7185,0.4607,0.3734
64,2,0.001,256,50,0.8628,0.7318,0.4822,0.4105
64,2,0.001,512,30,0.8138,0.6955,0.4751,0.3888
64,2,0.001,512,50,0.8699,0.7395,0.4719,0.3871
64,2,0.0005,256,30,0.8305,0.7062,0.4627,0.3732
64,2,0.0005,256,50,0.7912,0.6664,0.4516,0.371
64,2,0.0005,512,30,0.8178,0.6985,0.454,0.3775
64,2,0.0005,512,50,0.8312,0.707,0.4506,0.3795
64,2,0.0001,256,30,0.7957,0.6863,0.456,0.3821
64,2,0.0001,256,50,0.8224,0.699,0.4773,0.3946
64,2,0.0001,512,30,0.8058,0.6883,0.4565,0.3832
64,2,0.0001,512,50,0.8164,0.7073,0.4748,0.4027
64,3,0.001,256,30,0.8159,0.6926,0.4529,0.366
64,3,0.001,256,50,0.8294,0.7017,0.4469,0.3641
64,3,0.001,512,30,0.8708,0.7482,0.4763,0.3883
64,3,0.001,512,50,0.8577,0.7307,0.456,0.3692
64,3,0.0005,256,30,0.8049,0.6852,0.4422,0.3641
64,3,0.0005,256,50,0.8174,0.6949,0.4442,0.3644
64,3,0.0005,512,30,0.8205,0.7025,0.4666,0.3891
64,3,0.0005,512,50,0.8182,0.6984,0.4414,0.3694
64,3,0.0001,256,30,0.8057,0.6864,0.4434,0.3718
64,3,0.0001,256,50,0.8162,0.6988,0.4544,0.3857
64,3,0.0001,512,30,0.8316,0.7103,0.4605,0.3876
64,3,0.0001,512,50,0.8047,0.6907,0.4544,0.3795
128,1,0.001,256,30,0.8385,0.7201,0.4627,0.3883
128,1,0.001,256,50,0.8383,0.7112,0.4648,0.3859
128,1,0.001,512,30,0.7999,0.6786,0.4577,0.3806
128,1,0.001,512,50,0.8659,0.7401,0.4702,0.3844
128,1,0.0005,256,30,0.8397,0.7144,0.451,0.3823
128,1,0.0005,256,50,0.8645,0.7381,0.4544,0.3709
128,1,0.0005,512,30,0.825,0.6985,0.4469,0.3647
128,1,0.0005,512,50,0.8063,0.6759,0.4684,0.3731
128,1,0.0001,256,30,0.8289,0.7124,0.4817,0.3987
128,1,0.0001,256,50,0.7996,0.6826,0.4841,0.4072
128,1,0.0001,512,30,0.8231,0.7075,0.4831,0.4042
128,1,0.0001,512,50,0.819,0.703,0.4841,0.4065
128,2,0.001,256,30,0.8257,0.7037,0.4766,0.3883
128,2,0.001,256,50,0.8325,0.7092,0.4586,0.3823
128,2,0.001,512,30,0.825,0.7041,0.4667,0.3826
128,2,0.001,512,50,0.8384,0.7167,0.4604,0.3799
128,2,0.0005,256,30,0.8242,0.6961,0.4589,0.3751
128,2,0.0005,256,50,0.8292,0.7061,0.4533,0.376
128,2,0.0005,512,30,0.8091,0.6887,0.4668,0.3922
128,2,0.0005,512,50,0.8568,0.7288,0.4678,0.3881
128,2,0.0001,256,30,0.7997,0.6822,0.4494,0.3676
128,2,0.0001,256,50,0.8338,0.7202,0.4512,0.3742
128,2,0.0001,512,30,0.8394,0.723,0.469,0.3953
128,2,0.0001,512,50,0.8005,0.685,0.462,0.3821
128,3,0.001,256,30,0.8498,0.7282,0.4518,0.379
128,3,0.001,256,50,0.8161,0.6964,0.4589,0.3853
128,3,0.001,512,30,0.8229,0.7,0.4542,0.3771
128,3,0.001,512,50,0.8062,0.6868,0.4559,0.3709
128,3,0.0005,256,30,0.8584,0.7384,0.448,0.3697
128,3,0.0005,256,50,0.8337,0.7063,0.4472,0.3495
128,3,0.0005,512,30,0.8032,0.6837,0.4271,0.3502
128,3,0.0005,512,50,0.8275,0.704,0.4561,0.3689
128,3,0.0001,256,30,0.8314,0.7182,0.4628,0.3932
128,3,0.0001,256,50,0.8356,0.7176,0.4636,0.3963
128,3,0.0001,512,30,0.8458,0.7268,0.4808,0.3987
128,3,0.0001,512,50,0.8225,0.7037,0.4586,0.3717
256,1,0.001,256,30,0.8415,0.713,0.4812,0.3963
256,1,0.001,256,50,0.8625,0.7377,0.4785,0.4069
256,1,0.001,512,30,0.8591,0.7297,0.4604,0.3861
256,1,0.001,512,50,0.8668,0.7421,0.4714,0.3878
256,1,0.0005,256,30,0.8257,0.702,0.4572,0.3713
256,1,0.0005,256,50,0.8562,0.7296,0.4646,0.3872
256,1,0.0005,512,30,0.8673,0.7404,0.4792,0.4011
256,1,0.0005,512,50,0.879,0.7514,0.4706,0.393
256,1,0.0001,256,30,0.8155,0.6928,0.4948,0.406
256,1,0.0001,256,50,0.8076,0.6881,0.4649,0.3847
256,1,0.0001,512,30,0.8147,0.6991,0.4788,0.4008
256,1,0.0001,512,50,0.8361,0.71,0.5029,0.4203
256,2,0.001,256,30,0.8311,0.7093,0.4604,0.3748
256,2,0.001,256,50,0.8257,0.7061,0.4597,0.3789
256,2,0.001,512,30,0.8391,0.7149,0.4781,0.3976
256,2,0.001,512,50,0.805,0.6797,0.4515,0.3691
256,2,0.0005,256,30,0.8493,0.7208,0.4634,0.3949
256,2,0.0005,256,50,0.8439,0.7184,0.4986,0.4145
256,2,0.0005,512,30,0.8563,0.7321,0.4667,0.3876
256,2,0.0005,512,50,0.8281,0.7037,0.4613,0.3727
256,2,0.0001,256,30,0.8257,0.7069,0.478,0.4036
256,2,0.0001,256,50,0.8394,0.7234,0.468,0.4008
256,2,0.0001,512,30,0.8263,0.7082,0.4753,0.4056
256,2,0.0001,512,50,0.8582,0.7308,0.466,0.3891
256,3,0.001,256,30,0.8168,0.6933,0.4584,0.3799
256,3,0.001,256,50,0.8649,0.7374,0.5127,0.4149
256,3,0.001,512,30,0.8526,0.7298,0.4524,0.3717
256,3,0.001,512,50,0.8187,0.6948,0.4436,0.3567
256,3,0.0005,256,30,0.8497,0.725,0.4778,0.3999
256,3,0.0005,256,50,0.852,0.7258,0.4698,0.3956
256,3,0.0005,512,30,0.8203,0.6953,0.4441,0.3616
256,3,0.0005,512,50,0.8475,0.7224,0.4792,0.399
256,3,0.0001,256,30,0.7809,0.6644,0.4484,0.3645
256,3,0.0001,256,50,0.8191,0.6963,0.4554,0.3751
256,3,0.0001,512,30,0.8141,0.6964,0.4572,0.3845
256,3,0.0001,512,50,0.8006,0.6838,0.4396,0.3495
